Week,Depression: (Worldwide),Anxiety: (Worldwide)
2018-01-07,62,37
2018-01-14,66,31
2018-01-21,61,33
2018-01-28,65,35
2018-02-04,61,35
2018-02-11,66,35
2018-02-18,65,39
2018-02-25,64,36
2018-03-04,62,36
2018-03-11,73,40
2018-03-18,70,37
2018-03-25,67,36
2018-04-01,69,40
2018-04-08,69,43
2018-04-15,68,39
2018-04-22,69,42
2018-04-29,66,36
2018-05-06,67,38
2018-05-13,63,37
2018-05-20,65,35
2018-05-27,63,36
2018-06-03,71,38
2018-06-10,68,37
2018-06-17,65,35
2018-06-24,65,36
2018-07-01,60,34
2018-07-08,62,33
2018-07-15,60,35
2018-07-22,66,41
2018-07-29,67,41
2018-08-05,63,38
2018-08-12,66,41
2018-08-19,67,44
2018-08-26,71,42
2018-09-02,69,39
2018-09-09,67,40
2018-09-16,72,41
2018-09-23,70,40
2018-09-30,68,42
2018-10-07,69,39
2018-10-14,77,41
2018-10-21,75,41
2018-10-28,73,41
2018-11-04,74,42
2018-11-11,72,38
2018-11-18,77,43
2018-11-25,79,45
2018-12-02,71,40
2018-12-09,65,34
2018-12-16,59,35
2018-12-23,62,31
2018-12-30,62,37
2019-01-06,66,42
2019-01-13,68,39
2019-01-20,66,41
2019-01-27,68,38
2019-02-03,71,40
2019-02-10,72,41
2019-02-17,72,44
2019-02-24,68,38
2019-03-03,74,39
2019-03-10,78,41
2019-03-17,77,45
2019-03-24,76,45
2019-03-31,71,45
2019-04-07,67,48
2019-04-14,92,39
2019-04-21,100,53
2019-04-28,80,45
2019-05-05,75,49
2019-05-12,79,49
2019-05-19,74,50
2019-05-26,79,47
2019-06-02,72,43
2019-06-09,68,46
2019-06-16,69,40
2019-06-23,67,43
2019-06-30,66,40
2019-07-07,63,41
2019-07-14,74,46
2019-07-21,66,47
2019-07-28,72,48
2019-08-04,80,48
2019-08-11,74,47
2019-08-18,74,46
2019-08-25,75,49
2019-09-01,78,45
2019-09-08,79,52
2019-09-15,83,49
2019-09-22,85,52
2019-09-29,79,52
2019-10-06,84,49
2019-10-13,83,49
2019-10-20,76,53
2019-10-27,80,52
2019-11-03,79,50
2019-11-10,81,49
2019-11-17,78,51
2019-11-24,70,49
2019-12-01,72,48
2019-12-08,70,45
2019-12-15,73,46
2019-12-22,63,40
2019-12-29,62,41
2020-01-05,71,48
2020-01-12,78,53
2020-01-19,72,55
2020-01-26,75,56
2020-02-02,72,56
2020-02-09,76,55
2020-02-16,77,54
2020-02-23,74,53
2020-03-01,77,55
2020-03-08,69,51
2020-03-15,50,51
2020-03-22,54,63
2020-03-29,58,64
2020-04-05,54,59
2020-04-12,58,59
2020-04-19,59,61
2020-04-26,60,58
2020-05-03,60,63
2020-05-10,66,60
2020-05-17,63,63
2020-05-24,65,62
2020-05-31,63,60
2020-06-07,67,62
2020-06-14,72,63
2020-06-21,65,62
2020-06-28,66,59
2020-07-05,65,54
2020-07-12,64,57
2020-07-19,65,58
2020-07-26,63,55
2020-08-02,62,55
2020-08-09,61,57
2020-08-16,65,59
2020-08-23,62,59
2020-08-30,68,57
2020-09-06,71,61
2020-09-13,76,63
2020-09-20,74,59
2020-09-27,67,57
2020-10-04,74,57
2020-10-11,71,56
2020-10-18,68,56
2020-10-25,79,67
2020-11-01,68,57
2020-11-08,72,67
2020-11-15,68,62
2020-11-22,70,57
2020-11-29,71,58
2020-12-06,64,58
2020-12-13,65,59
2020-12-20,58,49
2020-12-27,59,56
2021-01-03,67,62
2021-01-10,69,63
2021-01-17,68,61
2021-01-24,69,63
2021-01-31,67,62
2021-02-07,68,62
2021-02-14,68,62
2021-02-21,71,67
2021-02-28,74,60
