Week,Depression: (United States),Anxiety: (United States)
2018-01-07,71,25
2018-01-14,72,26
2018-01-21,80,31
2018-01-28,87,25
2018-02-04,77,28
2018-02-11,79,30
2018-02-18,77,25
2018-02-25,80,23
2018-03-04,91,22
2018-03-11,79,26
2018-03-18,85,24
2018-03-25,81,23
2018-04-01,70,24
2018-04-08,85,25
2018-04-15,88,24
2018-04-22,84,31
2018-04-29,69,26
2018-05-06,78,20
2018-05-13,72,25
2018-05-20,80,25
2018-05-27,74,30
2018-06-03,87,23
2018-06-10,81,21
2018-06-17,80,21
2018-06-24,76,27
2018-07-01,79,29
2018-07-08,85,28
2018-07-15,76,24
2018-07-22,69,33
2018-07-29,76,28
2018-08-05,87,25
2018-08-12,69,26
2018-08-19,67,24
2018-08-26,81,31
2018-09-02,70,26
2018-09-09,74,27
2018-09-16,74,28
2018-09-23,79,28
2018-09-30,83,33
2018-10-07,90,25
2018-10-14,91,29
2018-10-21,92,27
2018-10-28,95,30
2018-11-04,88,30
2018-11-11,90,24
2018-11-18,77,24
2018-11-25,100,33
2018-12-02,84,29
2018-12-09,84,26
2018-12-16,83,27
2018-12-23,73,18
2018-12-30,73,26
2019-01-06,76,27
2019-01-13,76,31
2019-01-20,80,28
2019-01-27,85,31
2019-02-03,88,27
2019-02-10,90,23
2019-02-17,87,34
2019-02-24,86,34
2019-03-03,87,31
2019-03-10,86,26
2019-03-17,84,29
2019-03-24,84,35
2019-03-31,79,28
2019-04-07,85,28
2019-04-14,80,21
2019-04-21,73,29
2019-04-28,84,25
2019-05-05,80,26
2019-05-12,84,26
2019-05-19,74,27
2019-05-26,73,24
2019-06-02,78,26
2019-06-09,72,29
2019-06-16,77,29
2019-06-23,80,27
2019-06-30,71,24
2019-07-07,81,30
2019-07-14,66,26
2019-07-21,80,29
2019-07-28,82,25
2019-08-04,73,25
2019-08-11,73,24
2019-08-18,86,30
2019-08-25,69,20
2019-09-01,75,28
2019-09-08,90,24
2019-09-15,82,29
2019-09-22,80,30
2019-09-29,76,34
2019-10-06,79,28
2019-10-13,86,27
2019-10-20,83,29
2019-10-27,76,32
2019-11-03,96,28
2019-11-10,81,27
2019-11-17,80,35
2019-11-24,80,27
2019-12-01,81,26
2019-12-08,86,30
2019-12-15,69,22
2019-12-22,67,17
2019-12-29,74,30
2020-01-05,83,29
2020-01-12,84,37
2020-01-19,83,25
2020-01-26,90,30
2020-02-02,88,26
2020-02-09,83,27
2020-02-16,89,23
2020-02-23,86,31
2020-03-01,82,28
2020-03-08,72,21
2020-03-15,48,20
2020-03-22,57,26
2020-03-29,69,22
2020-04-05,65,30
2020-04-12,70,21
2020-04-19,72,25
2020-04-26,73,27
2020-05-03,65,26
2020-05-10,64,27
2020-05-17,71,26
2020-05-24,59,30
2020-05-31,62,27
2020-06-07,67,28
2020-06-14,72,28
2020-06-21,83,27
2020-06-28,70,22
2020-07-05,73,33
2020-07-12,76,28
2020-07-19,67,34
2020-07-26,69,31
2020-08-02,75,35
2020-08-09,70,30
2020-08-16,78,27
2020-08-23,74,32
2020-08-30,74,32
2020-09-06,81,38
2020-09-13,73,33
2020-09-20,81,33
2020-09-27,77,33
2020-10-04,85,34
2020-10-11,87,33
2020-10-18,76,36
2020-10-25,77,31
2020-11-01,65,29
2020-11-08,75,34
2020-11-15,76,28
2020-11-22,78,26
2020-11-29,84,31
2020-12-06,87,35
2020-12-13,79,29
2020-12-20,68,26
2020-12-27,67,24
2021-01-03,72,32
2021-01-10,77,34
2021-01-17,76,31
2021-01-24,78,36
2021-01-31,85,37
2021-02-07,80,27
2021-02-14,82,37
2021-02-21,91,33
2021-02-28,90,50
